2025-04-05 08:32:54,961 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.0.0.180:5001
2025-04-05 08:32:54,962 - INFO - [33mPress CTRL+C to quit[0m
2025-04-05 08:33:57,138 - ERROR - Curl send failed (500)
2025-04-05 08:33:57,138 - ERROR - Retrying after 2 s…
2025-04-05 08:34:03,245 - ERROR - Curl send failed (500)
2025-04-05 08:34:03,245 - ERROR - Retrying after 4 s…
2025-04-05 08:34:10,037 - ERROR - Curl send failed (500)
2025-04-05 08:34:10,038 - ERROR - Retrying after 8 s…
2025-04-05 08:34:18,038 - ERROR - All retry attempts failed.
2025-04-05 08:35:21,761 - ERROR - Curl send failed (500)
2025-04-05 08:35:21,762 - ERROR - Retrying after 2 s…
2025-04-05 08:35:26,464 - ERROR - Curl send failed (500)
2025-04-05 08:35:26,465 - ERROR - Retrying after 4 s…
2025-04-05 08:35:33,007 - ERROR - Curl send failed (500)
2025-04-05 08:35:33,007 - ERROR - Retrying after 8 s…
2025-04-05 08:35:41,008 - ERROR - All retry attempts failed.
